tweet id, tweet, label
'451187618697736192',"#PrayForChile They've prayed for us, Philippines because of the typhoon yolanda... It's time to pray for them.. xxx",Off-topic
'451187620945887232',"I hope that @justinbieber will follow me.I'm still waiting for this.I would be very happy if you make it happen,really.I love you babeä_¥Ÿ x57",on-topic
'451187621843070976',RT @AvrilLavigne: Thinking of everyone in Chile today. Hope all of you are safe! #prayforchile #ChileEarthquake,on-topic
'451187621901791232',"Chile assesses damage after massive quake, tsunami: SANTIAGO (Reuters) - Chilean authorities on Wednesday were... http://t.co/xjGjv6wYkM",Off-topic
'451187622077947904',Disaster declared after Chile quake: Chile declares three northern regions hit by a 8.2 magnitude earthquake t... http://t.co/LOlnc3OYPc,Off-topic
'451187623252336640',RT @ABC: UPDATE: Tsunami waves of up to 2.4 feet measured or reported along coast of northern Chile,Off-topic
'451187624099577856',"In the mean time, hereäó»s our coverage of the Chile earthquake aftermath by @kimbui with assist from @meg_wagner http://t.co/OFNpIJrryh",on-topic
'451187624586510336',RT @LOHANTHONY: there was a 8.2 earthquake in chile yet the tabloids wanna focus on the fact that lindsay lohan's credit card declined whiläó_,Off-topic
'451187625114611712',#newsofindia 6 Killed in Earthquake off Northern Chile - New York Times: Irish Independent6 Kill... http://t.co/qyqAjANWmh .. check out!,on-topic
'451187630277812224',"Massive Chile Earthquake May Not Be the ""Big One"" http://t.co/Y7oFOAhcLy",Off-topic
'451187630542032897',RT @NWS_PTWC: #TSUNAMI ADVISORY (offshore hazard) for the State of Hawaii.  Waves expected to arrive approx. 3:24 am HST. #PTWC http://t.coäó_,Off-topic
'451187631507132416',RT @freddiearomerop: World laugh of Peruvian Army http://t.co/YvnKMEra2n #Windsor #Essex #Hounslow #Nunavut #latam #Chile #England #Europe äó_,on-topic
'451187635709440000',"""8.0-magnitude earthquake strikes off the coast of Chile. Tsunami war...""  http://t.co/vuWhW4qRAk",on-topic
'451187637437476865',Hard to believe that the Peru trip is almost over. I am so proud of the seniors in my family group - they did such a great job this week!,Off-topic
'451187637463031808',@nashtonkitty our little weirdo #lovehim http://t.co/sdW66s7ryo,on-topic
'451187638515421184',RT @CageTheElephant: Who can resist the classic J champ thumbs up pic!  #argentina #chile #cagetheelephant http://t.co/1Low8hjXQt,Off-topic
'451187640490942464',"RT @NewEarthquake: 4.8 earthquake, 96km WNW of Iquique, Chile. Apr 3 03:28 at epicenter (37m ago, depth 15km). http://t.co/dJgNhlLOVL",on-topic
'451187641808330752',RT @eyprelrows: #PrayforSouthKorea #PrayforChile #PrayforIndonesia #PrayforNepal #PrayforUkraine #PrayforFlores  #PrayforTheWorld :( so manäó_,Off-topic
'451187643259580416',RT @NewsBreaker: NOW:  Chileäó»s Navy issues tsunami warning following magnitude 7.8 quake - @Reuters @ajamlive,on-topic
'451187644048084992',RT @dwaynereywinson: Prayers to the people of Chile. May God grant you all peace. à__F #PrayForChile #IndonesianRespect,on-topic
'451187646560104449',RT @Independent: Powerful earthquake triggers tsunami off coast of Chile http://t.co/vXCPmMXUM9 http://t.co/ixY7cHzwCV,on-topic
'451187646602047488',Let's right Armando Cristian Perez,on-topic
'451187647226998784',"RT @aquaticsPH: Let us pause for a while and pray for our friends who lived in Chile, magnitude of 8.2 earthquake has struck them. #Prayforäó_",on-topic
'451187647499616256',"M5.0 OFFSHORE TARAPACA, CHILE Depth 25.3km Apr 05, 2014 00:33:57 UTC, Apr 04, 2014 20:33:57 at epicenter http://t.co/sbXn47tzj8",on-topic
'451187650439815168',RT @DemiLovatoFans: RT @ddlovato Praying for Chile... My heart is with you all right now _ôÍ„ / #PrayForChile,on-topic
'451187651509755904',äóì@CBSNews: JUST IN: 2 reported dead in #ChileEarthquake,on-topic
'451187656257708032',"RT @Fascinatingpics: An earthquake 8,3 liberates 3x times more energy than the Nagasaki's atomic bomb. #PrayForChile http://t.co/1KLTNHmO8H",Off-topic
'451187658052476928',RT @AyyTangaLangDre: Earthquakes can't shake us. Let's all offer a prayer for Chile. #PrayForChile,on-topic
'451187659151400961',#PrayForChile... it's hard to cope after the earthquake esp when you know aftershocks will go on for days or even months.,Off-topic
'451187659709235200',I'm belieber since 2009 and I will be forever. You're the Best idol I've ever had in my life :) i Love You So Much @justinbieber x11,on-topic
'451187660858462208',äóì@QueenNigger: Chille's... I never liked dat restaurant... i hope dha cookers and dha servers are okay doe! #PrayForChile #ChileEarthquakeäó,Off-topic
'451187668710617088',"RT @MamaGH: Pray for Chile, and earthquake disaster. à__F",on-topic
'451187669251280896',RT @KennyHamilton: #PrayforChile may God continue to be with you all.,on-topic
'451187669302009857',227's YouTube Chili' microsoft227: 227's YouTube Chili' Chile Earthquake 8.0 Giant Earthqu... http://t.co/CayNo8JtOW Jamaal Al-Din - NBA,Off-topic
'451187669851467777',My NBC News report from Northern Chile - Earthquake Damages Chilean Infrastructure  http://t.co/Fd0i5o0G2g,on-topic
'451187671235584000',RT @BBCWorld: At least five dead in Chile earthquake as tsunami alert prompts coastal evacuation http://t.co/OSJmgkWM1u,on-topic
'451187671235584001',"#Albert_Stanlie INF: Chile earthquake: No tsunami threat to California, officials say: A 7.8-magnitude earthqu... http://t.co/fl0hRiEOis",Off-topic
'451187673521483776',RT @offscottfreee: Hearts going out to those suffering in the wake of the earthquake in Chile #PrayForChile,on-topic
'451187673693044736',RT @philstockworld: News You Can Use from Philstockworld #HFT #ChileEarthquake $EWJ #Japan #China $SPY $PCG $MNKD $GOOG $FB -- http://t.co/äó_,Off-topic
'451187674385117185',RT @profesortbaker: #RT I Live In #Chile ä´_ä__http://t.co/rwO2RVPIlväÖƒ #ASMSG #T4US #4FTM #AGA3 #IAN1 #BYNR #ChileEarthquakeAndTsunami #PDF1 htäó_,Off-topic
'451187674473574400',"#Earthquake #Sismo ML 3.4  OFFSHORE TARAPACA, CHILE: MagnitudeŒæŒæML 3.4RegionŒæŒæOFFSHORE TARAPACA, CHILEDate tim... http://t.co/Mj54epN28N",on-topic
'451187675899240448',"#M5.5  #45km WNW of #Iquique, #Chile #11April2014 12:00:51 UTC #PrayersForPapuaNewGuinea #PrayersForChile #USGS #NOAA http://t.co/QHlTdMDI2V",on-topic
'451187677992214528',RT @NewsBreaker: UPDATE: Earthquake in northern Chile upgraded to magnitude 7.8 -USGS http://t.co/jrX8B5QAGn via @RodrigoEBR http://t.co/BCäó_,on-topic
'451187678386847745',Tsunami Alert Dropped Following Quake Off Northern Chile http://t.co/Utna79VTBE http://t.co/rCWNdEBXJf #peru,on-topic
'451187681817395200',RT @RT_com: Tsunami alert for #Chile will last for at least another 6 hrs following 8.2 quake - officials http://t.co/T4ojvmV4qr http://t.cäó_,on-topic
'451187682694406144',RT @MeredithFrost: This incredible animation shows how Chileäó»s tsunami took over the entire Pacific Ocean. Watch: http://t.co/4Smr7abkxg htäó_,on-topic
'451187682824433664',MT @HumanityRoad's situation report on the earthquake in #Chile. http://t.co/PiYIBkDNUK |#terremoto,on-topic
'451187684237910017',@selenagomez #PrayForChile #chileneedyou #ChileEarthquake please we need you selena..,Off-topic
'451187685227765760',"RT @USGSted: Strong earthquake, NEAR COAST OF TARAPACA, CHILE, Apr-7 13:43 UTC, 4 #quake tweets/min,  http://t.co/7gd6dlOuHl",on-topic
'451187685307068416',RT @kendrick38: #PrayforChile &amp,Off-topic
'451187686075039744',"Oh no, terrible earthquake last night in Chile. #PrayForChile à__F",on-topic
'451187687660068864',RT @RT_com: BREAKING: First #tsunami waves reach #Chile coastline after massive aftershock äóñ navy http://t.co/rF6wNaMDgY,Off-topic
'451187693494759425',"RT @EarlyStart: We're live in 35 minutes with the latest on the earthquake in #Chile, reports on #MH370 and details of the #MiddleEast peacäó_",Off-topic
'451187697910939648',Earthquake in Chile. 8.2 on scale and sets off landslides and tsunami.  5 are confirmed dead. We'll have the latest this morning.,on-topic
'451187697952907264',RT @iankeithtom: I just heard. I have friends in Chile. Tell me you're OK #earthquake,Off-topic
'451187698309406720',"RT @TheMindBlowing: An 8.0 magnitude earthquake hit Chile. Tsunami warning issued for Chile, Peru, and Ecuador. Let's pray for them _ô»: httpäó_",Off-topic
'451187699374780416',RT @linbea945: Just saw Jype's boys had good performance in Japan M!countdown n we thanks God! Also pray for Chile good recover from earthqäó_,on-topic
'451187700436324352',RT @tiaannn_: #PrayForChile  We're with u #FuerzaChile äì_,Off-topic
'451187704454475776',RT @PzFeed: BREAKING: Pacific Tsunami Warning Center puts preliminary magnitude of quake off northern Chile at 7.4,Off-topic
'451187704928034816',#earthquake: M 3.9 - South-America Chile [Antofagasta] San Pedro de Atacama: Preliminary Earthquake Report:  ... http://t.co/RSB793fi9S,on-topic
'451187705524006912',"RT @USRadioNews: North Chile Magnitude 8.2 Quake Triggers Tsunami, Evacuation (4) -  Northern Chile was shaken by a magnitude 8.2... http:/äó_",Off-topic
'451187707856027648',"RT @TheTengri: Prayers go out to Chile, NYT, Earthquake Hits Off Coast of North Chile",Off-topic
'451187709956997120',RT @foxnewsalert: BREAKING NEWS: Tsunami warning after 7.8 aftershock shakes Chile's coast http://t.co/ZCwe3oyzce,Off-topic
'451187710049652736',"RT @adri9234: My thoughts and prayers go out to those affected by the earthquake in Chile, and those affected by the shooting today...",on-topic
'451187710623899648',RT @NewEarthquake: Tsunami Warning (Pacific): TSUNAMI WARNING IN EFFECT FOR CHILE/PERU FOR ALL OTHER AREAS COVERED BY THIS BULLETIN... httpäó_,Off-topic
'451187710854967296',RT @dwiyantiptr: Stay safe guys! Our prayers go out with you all. #PrayForChile http://t.co/FL3bUWyAV6,on-topic
'451187712008003584',"On a related note, Chile has weathered the earthquake very well. They're very prepared down there. And that was an 8.2. Wow.",Off-topic
'451187716151980032',Tsunami alert after 8.2 Chile quake http://t.co/GbPJgEa2SO,on-topic
'451187717183795200',"Chile got a 8.2 earthquake , prayers go out to them _ô»ë_ô»",on-topic
'451187717485768705',"Chile earthquake: How loss of life, damage was minimized http://t.co/FanTvt3cFF",Off-topic
